,Title,Company,Pack,Link,Discounted Price,Orignal Price
0,Arnil,Brookes,Pack Size: 2x10's,https://dawaai.pk/medicine/arnil-1-34352.html,68,75
1,Artifen,Abbott Laboratories,Pack Size: 10x10's,https://dawaai.pk/medicine/artifen-34359.html,69,77
2,Advacort Ointment,Atco,Pack Size: 0.1%,https://dawaai.pk/medicine/advacort-ointment-34383.html,144,160
3,AV-Sartan 10 mg/ 160 mg,Barrett,Pack Size: 14,https://dawaai.pk/medicine/av-sartan-10-mg-160-mg-34937.html,540,600
4,Aidra,Wilshire,Pack Size: 3x10's,https://dawaai.pk/medicine/aidra-2-35514.html,360,400
5,Acabel,Continental Pharma,Pack Size: 1x10's,https://dawaai.pk/medicine/acabel-1-35552.html,113,125
6,Acabel,Continental Pharma,Pack Size: 1x10's,https://dawaai.pk/medicine/acabel-2-35553.html,188,209
7,Atcam,Atco,Pack Size: 10's,https://dawaai.pk/medicine/atcam-35554.html,198,220
8,Apranax,Martin Dow,Pack Size: 2x10's,https://dawaai.pk/medicine/apranax-35746.html,175,194
9,Aproxen DS,Schazoo Pharmaceuticals,Pack Size: 2x10's,https://dawaai.pk/medicine/aproxen-1-35751.html,175,195
10,Axicam,Mass-PH Health,Pack Size: 1x20's,https://dawaai.pk/medicine/axicam-35980.html,226,252
11,Adronil,Searle,Pack Size: 1 Ampx3ml,https://dawaai.pk/medicine/adronil-3-mg-3-ml-36366.html,"2,008","2,231"
12,Aurora,Ferozsons,Pack Size: 1x10's,https://dawaai.pk/medicine/aurora-tab-5mg-10s-36775.html,329,366
13,Abriva 400mg,CCL,Pack Size: 28's,https://dawaai.pk/medicine/abriva-400mg-37111.html,"5,281","5,868"
14,Anplag,Pharm Evo,Pack Size: 2x10's,https://dawaai.pk/medicine/anplag-90mg-37117.html,707,786
15,Arixtra 2.5mg Pre filled Syringe 5ml,Aspin Pharma,Pack Size: 1,https://dawaai.pk/medicine/arixtra-25mg-37175.html,"3,915","4,350"
16,Anvol,Aspin Pharma,Pack Size: 1 x 14's,https://dawaai.pk/medicine/anvol-10mg-37208.html,294,327
17,Anvol 2.5mg,Aspin Pharma,Pack Size: 1 x 14's,https://dawaai.pk/medicine/anvol-25mg-37209.html,140,155
18,Awzi,Amson,Pack Size: 1x10's,https://dawaai.pk/medicine/awzi-250mg-37242.html,239,266
19,Amlo-Q,High-Q,Pack Size: 2x10's,https://dawaai.pk/medicine/amlo-q-5mg-1-37286.html,84,94
20,Adablizer,Adamjee Pharmaceuticals,Pack Size: 3x10's,https://dawaai.pk/medicine/adablizer-10mg-37323.html,120,133
21,Acnes Scar Care,Rohto Mentholatum,Pack Size: 12gm,https://dawaai.pk/medicine/acnes-scar-care-37384.html,622,691
22,Aqua D,Matrix,Pack Size: 10ml,https://dawaai.pk/medicine/d-max-aqua-drops-400id-10ml-37531.html,396,440
23,AD Folic 600mcg,Pharm Evo,Pack Size: 3x10's,https://dawaai.pk/medicine/ad-folic-od-600mcg-37539.html,203,225
24,Adapco Forte Gel 15G,Atco,Pack Size: 1's,https://dawaai.pk/medicine/adapco-forte-gel-3mg-37615.html,391,435
25,Apizyt 120 ml syrup,Hinucon,Pack Size: 120ml,https://dawaai.pk/medicine/apizyt-120-ml-syrup-37971.html,252,280
26,Aquavit,Wilson's,Pack Size: 10,https://dawaai.pk/medicine/aquavit-sachet-37987.html,19,21
27,Alcuflex 550mg,ICI Pakistan Limited,Pack Size: 20's,https://dawaai.pk/medicine/alcuflex-550mg-37997.html,192,213
28,Amorin,Mass-PH Health,Pack Size: 10x10's,https://dawaai.pk/medicine/amorin-50-mg-38009.html,128,142
29,Actifed-DM,GlaxoSmithKline,Pack Size: 90ml,https://dawaai.pk/medicine/actifed-dm-38019.html,132,146
30,Avsar,Pharm Evo,Pack Size: 2x7's,https://dawaai.pk/medicine/avsar-580-mg-tablet-38133.html,222,247
31,Ampress 10mg Tablet,Barrett,Pack Size: 20,https://dawaai.pk/medicine/ampress-10mg-tablet-38134.html,180,200
32,Aminovel 600mg Injection,Otsuka,Pack Size: 500ml,https://dawaai.pk/medicine/aminovel-600mg-injection-38150.html,815,906
33,Atenolol 100mg,Zafa,Pack Size: 2x10's,https://dawaai.pk/medicine/atenolol-100mg-1-38158.html,59,66
